School,Phase 1 Taken,2A(1) Taken,2A(2) Vacancy,Total Vacancy,Vacancy %
Admiralty,83,0,87,210,60%
Ahmad Ibrahim,40,0,130,210,81%
Ai Tong,147,113,0,300,13%
Alexandra,95,0,65,200,53%
Anchor Green,87,0,113,240,64%
Anderson,86,1,83,210,59%
Ang Mo Kio,48,0,152,240,80%
Anglo-Chinese (Junior),88,97,45,270,31%
Anglo-Chinese (Primary),59,103,38,240,33%
Angsana,38,0,162,240,84%
Beacon,72,0,128,240,70%
Bedok Green,53,0,177,270,80%
Bendemeer,59,0,141,240,75%
Blangah Rise,18,1,91,150,87%
Boon Lay Garden,61,0,139,240,75%
Bukit Panjang,97,17,86,240,53%
Bukit Timah,63,1,106,210,70%
Bukit View,63,0,137,240,74%
CHIJ (Katong),46,16,98,200,69%
CHIJ (Kellock),43,0,117,200,79%
CHIJ Our Lady of The Nativity,54,0,146,240,78%
CHIJ Our Lady Queen of Peace,40,1,99,180,77%
CHIJ Our Lady of Good Counsel,43,0,67,150,71%
CHIJ (Toa Payoh),51,52,67,210,51%
CHIJ St. Nicholas Girls’,93,77,0,210,19%
Canberra,85,1,114,240,64%
Canossa Catholic,33,5,72,150,75%
Cantonment,60,0,140,240,75%
Casuarina,63,1,56,160,60%
Catholic High,81,119,0,240,17%
Cedar,36,0,164,240,85%
Changkat,46,0,124,210,78%
Chongfu,140,40,80,300,40%
Chongzheng,87,0,53,180,52%
Chua Chu Kang,92,0,108,240,62%
Clementi,94,0,146,280,66%
Compassvale,91,0,109,240,62%
Concord,94,0,106,240,61%
Corporation,72,1,157,270,73%
Damai,33,0,167,240,86%
Dazhong,71,0,89,200,65%
De La Salle,95,8,97,240,57%
East Spring,67,0,103,210,68%
Edgefield,100,0,100,240,58%
Elias Park,81,0,69,190,57%
Endeavour,74,0,126,240,69%
Evergreen,84,0,86,210,60%
Fairfield Methodist,124,75,31,270,26%
Farrer Park,48,0,132,220,78%
Fengshan,70,0,70,180,61%
Fern Green,119,1,120,280,57%
Fernvale,80,0,160,280,71%
First Toa Payoh,18,0,152,210,91%
Frontier,87,1,82,210,58%
